x,y
8.549999999999981e-05,-4.0
8.599999999999981e-05,-4.0
8.649999999999981e-05,-4.0
8.699999999999981e-05,-4.0
8.749999999999981e-05,-4.0
8.799999999999981e-05,-4.0
8.84999999999998e-05,-4.0
8.89999999999998e-05,-4.0
8.94999999999998e-05,-4.0
8.99999999999998e-05,-4.0
9.04999999999998e-05,-4.0
9.09999999999998e-05,-4.0
9.14999999999998e-05,-4.0
9.19999999999998e-05,-4.0
9.24999999999998e-05,-4.0
9.29999999999998e-05,-4.0
9.349999999999979e-05,-4.0
9.399999999999979e-05,-4.0
9.449999999999979e-05,-4.0
9.499999999999979e-05,-4.0
9.549999999999979e-05,-4.0
9.599999999999979e-05,-4.0
9.649999999999978e-05,-4.0
9.699999999999978e-05,-4.0
9.749999999999978e-05,-4.0
9.799999999999978e-05,-4.0
9.849999999999978e-05,-4.0
9.899999999999978e-05,-4.0
9.949999999999978e-05,-4.0
9.999999999999977e-05,-4.0
0.00010049999999999977,-4.0
0.00010099999999999977,-4.0
0.00010149999999999977,-5.0
0.00010199999999999977,-5.0
0.00010249999999999977,-5.0
0.00010299999999999977,-5.0
0.00010349999999999976,-5.0
0.00010399999999999976,-5.0
0.00010449999999999976,-5.0
0.00010499999999999976,-5.0
0.00010549999999999976,-5.0
0.00010599999999999976,-5.0
0.00010649999999999976,-5.0
0.00010699999999999975,-5.0
0.00010749999999999975,-5.0
0.00010799999999999975,-5.0
0.00010849999999999975,-5.0
0.00010899999999999975,-5.0
0.00010949999999999975,-5.0
0.00010999999999999975,-5.0
0.00011049999999999975,-5.0
0.00011099999999999974,-5.0
0.00011149999999999974,-5.0
0.00011199999999999974,-5.0
0.00011249999999999974,-5.0
0.00011299999999999974,-5.0
0.00011349999999999974,-5.0
0.00011399999999999974,-5.0
0.00011449999999999973,-5.0
0.00011499999999999973,-5.0
0.00011549999999999973,-5.0
0.00011599999999999973,-5.0
0.00011649999999999973,-5.0
0.00011699999999999973,-5.0
0.00011749999999999973,-5.0
0.00011799999999999972,-5.0
0.00011849999999999972,-5.0
0.00011899999999999972,-5.0
0.00011949999999999972,-5.0
0.00011999999999999972,-5.0
0.00012049999999999972,-5.0
0.00012099999999999972,-5.0
