x,y,R_std
160,0.003901893,0.002731056
161,0.004261089,0.002428109
162,0.002884503,0.00179998
163,0.00454387,0.002265123
164,0.003048344,0.002052357
165,0.006014292,0.002675499
166,0.005106443,0.003356377
167,0.006376735,0.002248843
168,0.003489769,0.00324018
169,0.004502149,0.002379017
170,0.004471998,0.002195183
171,0.002834164,0.001655591
172,0.005347753,0.002431942
173,0.003648504,0.001079783
174,0.006521715,0.002434762
175,0.002992089,0.00262015
176,0.005550927,0.001572881
177,0.003759893,0.002810722
178,0.004223576,0.002120563
179,0.005413483,0.002845818
180,0.003255776,0.002139571
181,0.006425757,0.001990856
182,0.002478886,0.002167783
183,0.006428333,0.001771497
184,0.002550967,0.00234193
185,0.005463063,0.002007513
186,0.004015711,0.002227384
187,0.005029803,0.002727087
188,0.00559049,0.002001738
189,0.004281384,0.002420792
190,0.006092665,0.002912238
191,0.003110231,0.002545577
192,0.006815814,0.002369106
193,0.004352301,0.002386004
194,0.006791363,0.001567548
195,0.003771988,0.001790213
196,0.006883119,0.001758144
197,0.002689919,0.001668846
198,0.006741873,0.00201438
199,0.002861957,0.002110769
200,0.005513415,0.002699303
