x,y,R_std,y_hi,y_lo
54,0.00016025023683905604,0.00016985299359342676,0.00033010323043248277,-9.602756754370723e-06
55,0.00011977590471506118,0.00011167175882399566,0.00023144766353905684,8.10414589106552e-06
56,9.113689363002777e-05,7.056254402884742e-05,0.0001616994376588752,2.0574349601180345e-05
57,9.744970500469208e-05,0.00011231452415508134,0.00020976422915977344,-1.4864819150389255e-05
58,7.7899232506752e-05,8.503319833449859e-05,0.0001629324308412506,-7.133965827746584e-06
59,7.078612446784975e-05,4.202982892305259e-05,0.00011281595339090233,2.875629554479716e-05
60,0.000102979538962245,0.00012291878671748596,0.00022589832567973094,-1.9939247755240965e-05
61,5.2395020212445936e-05,1.9538073697806286e-05,7.193309391025222e-05,3.2856946514639654e-05
62,6.56635562578837e-05,3.459029825560151e-05,0.00010025385451348522,3.1073258002282196e-05
63,6.046991050243378e-05,3.611266634278198e-05,9.658257684521575e-05,2.4357244159651797e-05
64,5.405743254555597e-05,4.563954948473727e-05,9.969698203029324e-05,8.4178830608187e-06
65,6.565860509872437e-05,6.0637012379331056e-05,0.00012629561747805543,5.021592719393313e-06
66,9.57450047135353e-05,8.46206190493796e-05,0.0001803656237629149,1.1124385664155705e-05
67,7.681925892829897e-05,3.7388289936359455e-05,0.00011420754886465842,3.943096899193951e-05
68,9.304156899452212e-05,3.958035452183143e-05,0.00013262192351635354,5.346121447269069e-05
69,0.00011249910015612841,9.027081759890182e-05,0.00020276991775503023,2.222828255722659e-05
70,5.0974340736866e-05,4.66597553559172e-05,9.76340960927832e-05,4.314585380948799e-06
71,0.00014602847894032797,4.460091319812922e-05,0.0001906293921384572,0.00010142756574219874
72,0.0001330990046262741,7.299112331556854e-05,0.00020609012794184264,6.0107881310705565e-05
73,9.685732920964559e-05,6.497209466924128e-05,0.00016182942387888685,3.188523454040431e-05
74,0.0001424299677213033,7.714931258180178e-05,0.00021957928030310507,6.528065513950153e-05
75,1.4896780252456662e-05,1.932682622726927e-05,3.422360647972593e-05,-4.430045974812609e-06
76,9.192651510238647e-05,0.0,9.192651510238647e-05,9.192651510238647e-05
77,0.0002338939905166626,0.0,0.0002338939905166626,0.0002338939905166626
78,2.9259175062179566e-07,0.0,2.9259175062179566e-07,2.9259175062179566e-07
79,1.1943280696868896e-08,0.0,1.1943280696868896e-08,1.1943280696868896e-08
80,0.0,0.0,0.0,0.0
81,7.271811366081238e-06,0.0,7.271811366081238e-06,7.271811366081238e-06
82,5.8291219174861906e-06,1.442689448595047e-06,7.271811366081238e-06,4.3864324688911435e-06
83,1.5226751565933228e-07,1.4032423496246338e-07,2.9259175062179566e-07,1.1943280696868908e-08
84,0.0,0.0,0.0,0.0
85,4.3864324688911435e-06,0.0,4.3864324688911435e-06,4.3864324688911435e-06
86,0.0,0.0,0.0,0.0
87,7.271811366081238e-06,0.0,7.271811366081238e-06,7.271811366081238e-06
88,0.0,0.0,0.0,0.0
89,0.0,0.0,0.0,0.0
90,2.8566382825374602e-06,1.5297941863536833e-06,4.3864324688911435e-06,1.326844096183777e-06
91,1.5517969926198325e-06,1.0498765152544518e-06,2.6016735078742843e-06,5.019204773653807e-07
92,4.210859537124634e-06,1.6794749567504042e-06,5.890334493875038e-06,2.5313845803742297e-06
93,0.0,0.0,0.0,0.0
94,6.382380922635396e-06,4.234929387324136e-06,1.0617310309959532e-05,2.1474515353112603e-06
95,7.3166191577911376e-06,0.0,7.3166191577911376e-06,7.3166191577911376e-06
96,1.9293799996376037e-06,6.02535903453827e-07,2.5319159030914305e-06,1.3268440961837767e-06
97,2.935260534286499e-06,0.0,2.935260534286499e-06,2.935260534286499e-06
98,3.7486851215362548e-06,0.0,3.7486851215362548e-06,3.7486851215362548e-06
99,2.081103622913361e-06,1.6878172755241394e-06,3.7689208984375e-06,3.932863473892214e-07
100,6.528392434120178e-06,7.32503127882374e-07,7.260895562002552e-06,5.795889306237804e-06
101,3.1095147132873533e-06,6.391704082489012e-07,3.7486851215362548e-06,2.470344305038452e-06
102,3.7689208984375e-06,0.0,3.7689208984375e-06,3.7689208984375e-06
103,4.411935806274415e-06,2.30446457862854e-06,6.716400384902954e-06,2.1074712276458745e-06
104,5.552157759666443e-06,0.0,5.552157759666443e-06,5.552157759666443e-06
105,2.4703443050384523e-06,0.0,2.4703443050384523e-06,2.4703443050384523e-06
